Species	Gene	StudyStatus	Model	DirectionalPairCount	MeanDirectionalContradictionRatio	HighContradiction
Soybean	GLYMA_05G176200	uncharacterized	Claude	6	0.493693379790941	False
Soybean	GLYMA_12G028300	uncharacterized	Claude	6	0.645450968163459	True
Soybean	GLYMA_13G104700	uncharacterized	Claude	6	0.554972804972805	False
Soybean	GLYMA_14G089000	uncharacterized	Claude	6	0.617667971441556	True
Soybean	GLYMA_16G025900	uncharacterized	Claude	6	0.23209035017375	False
Soybean	GLYMA_16G165500	uncharacterized	Claude	6	0.267072470466307	False
Soybean	GLYMA_17G092700	uncharacterized	Claude	6	0.379043070219541	False
Soybean	GLYMA_18G029000	uncharacterized	Claude	6	0.456920289855072	False
Soybean	GLYMA_18G181300	uncharacterized	Claude	6	0.402360066833751	False
Soybean	GLYMA_18G282300	uncharacterized	Claude	6	0.461805555555556	False
Soybean	GLYMA_19G194300	uncharacterized	Claude	6	0.39132637328752	False
Soybean	GLYMA_20G068700	uncharacterized	Claude	6	0.434325552932949	False
Rice	Os01g0107900	uncharacterized	Claude	6	0.444444444444444	False
Rice	Os01g0134700	uncharacterized	Claude	6	0.557291666666667	False
Rice	Os02g0580500	uncharacterized	Claude	6	0.634868506789689	True
Rice	Os02g0821600	uncharacterized	Claude	6	0.393382352941176	False
Rice	Os03g0160600	uncharacterized	Claude	6	0.477450980392157	False
Rice	Os03g0221500	uncharacterized	Claude	6	0.482784992784993	False
Rice	Os03g0436300	uncharacterized	Claude	6	0.420748873873874	False
Rice	Os03g0587100	uncharacterized	Claude	6	0.56474358974359	False
Rice	Os03g0783000	uncharacterized	Claude	6	0.380530665073676	False
Rice	Os03g0811700	uncharacterized	Claude	6	0.359096864552273	False
Rice	Os03g0833100	uncharacterized	Claude	6	0.550770355375619	False
Rice	Os03g0850100	uncharacterized	Claude	6	0.659844322344322	True
Rice	Os04g0462900	uncharacterized	Claude	6	0.526998050682261	False
Rice	Os04g0570700	uncharacterized	Claude	6	0.500467076782866	False
Rice	Os04g0653300	uncharacterized	Claude	6	0.485177975528365	False
Rice	Os05g0350600	uncharacterized	Claude	6	0.422282841249465	False
Rice	Os05g0449900	uncharacterized	Claude	6	0.460530460530461	False
Rice	Os06g0665200	uncharacterized	Claude	6	0.528439153439153	False
Rice	Os11g0521900	uncharacterized	Claude	6	0.201984930274404	False
Rice	Os12g0263100	uncharacterized	Claude	6	0.49098440545809	False
Wheat	TraesCS1A02G083000	uncharacterized	Claude	6	0.378793892725781	False
Wheat	TraesCS1A02G223800	uncharacterized	Claude	6	0.660764929908435	True
Wheat	TraesCS1A02G233800	uncharacterized	Claude	6	0.576013071895425	False
Wheat	TraesCS1A02G278900	uncharacterized	Claude	6	0.564819724284199	False
Wheat	TraesCS1D02G150300	uncharacterized	Claude	6	0.494792960662526	False
Wheat	TraesCS1D02G381700	uncharacterized	Claude	6	0.442376838753419	False
Wheat	TraesCS2A02G013200	uncharacterized	Claude	6	0.500935623516269	False
Wheat	TraesCS2A02G013500	uncharacterized	Claude	6	0.164493334304655	False
Wheat	TraesCS2A02G425400	uncharacterized	Claude	6	0.436184210526316	False
Wheat	TraesCS2A02G425500	uncharacterized	Claude	6	0.550305833779341	False
Wheat	TraesCS2B02G004500	uncharacterized	Claude	6	0.477524875621891	False
Wheat	TraesCS5A02G355200	uncharacterized	Claude	6	0.404166666666667	False
Wheat	TraesCS5B02G357400	uncharacterized	Claude	6	0.419611003653557	False
Wheat	TraesCS5D02G362500	uncharacterized	Claude	6	0.555428194993412	False
Wheat	TraesCS6A02G263000	uncharacterized	Claude	6	0.393052440222251	False
Wheat	TraesCS6B02G290000	uncharacterized	Claude	6	0.41154181184669	False
Wheat	TraesCS6D02G243500	uncharacterized	Claude	6	0.443506006006006	False
Wheat	TraesCS7A02G369800	uncharacterized	Claude	6	0.471204767986377	False
Wheat	TraesCS7B02G258700	uncharacterized	Claude	6	0.504667011732229	False
Wheat	TraesCS7D02G353500	uncharacterized	Claude	6	0.595667540919227	False
Maize	Zm00001eb049320	uncharacterized	Claude	6	0.472455648926237	False
Maize	Zm00001eb063410	uncharacterized	Claude	6	0.414375072564728	False
Maize	Zm00001eb070570	uncharacterized	Claude	6	0.591435185185185	False
Maize	Zm00001eb126640	uncharacterized	Claude	6	0.246074556304735	False
Maize	Zm00001eb133420	uncharacterized	Claude	6	0.689834294322373	True
Maize	Zm00001eb140160	uncharacterized	Claude	6	0.583333333333333	False
Maize	Zm00001eb170340	uncharacterized	Claude	6	0.524127791068581	False
Maize	Zm00001eb172650	uncharacterized	Claude	6	0.388738859213143	False
Maize	Zm00001eb212190	uncharacterized	Claude	6	0.629304029304029	True
Maize	Zm00001eb214800	uncharacterized	Claude	6	0.521249939181628	False
Maize	Zm00001eb252940	uncharacterized	Claude	6	0.505778334725703	False
Maize	Zm00001eb257830	uncharacterized	Claude	6	0.387433226495726	False
Maize	Zm00001eb287560	uncharacterized	Claude	6	0.483398692810457	False
Maize	Zm00001eb334320	uncharacterized	Claude	6	0.588434829059829	False
Maize	Zm00001eb337920	uncharacterized	Claude	6	0.538070872736687	False
Maize	Zm00001eb355530	uncharacterized	Claude	6	0.399264825676116	False
Maize	Zm00001eb356500	uncharacterized	Claude	6	0.545202850877193	False
Maize	Zm00001eb362410	uncharacterized	Claude	6	0.366669610995301	False
Maize	Zm00001eb400720	uncharacterized	Claude	6	0.599909297052154	False
Maize	Zm00001eb409870	uncharacterized	Claude	6	0.423774746222038	False
