Scope	StudyStatus	Species	Model	IntervalAnalysis	Estimate	CI95Lower	CI95Upper	NJudgments	NExperts	NGenes	SuccessfulReplicates	FailedFits	SeedStream
well_studied.rice	well_studied	Rice	Grok	crossed_expert_gene	1276.90257539178	1071.66014317866	1400.46927432206	60	23	20	10000	0	pl_expert_gene_components
well_studied.rice	well_studied	Rice	Grok	expert_cluster	1276.90257539178	1145.26686452693	1361.80644903703	60	23	20	10000	0	pl_expert_gene_components
well_studied.rice	well_studied	Rice	Grok	gene_cluster	1276.90257539178	1178.43235229892	1355.28201557851	60	23	20	10000	0	pl_expert_gene_components
well_studied.rice	well_studied	Rice	OpenAI	crossed_expert_gene	1467.37453009455	1373.00749511098	1546.89235162861	60	23	20	10000	0	pl_expert_gene_components
well_studied.rice	well_studied	Rice	OpenAI	expert_cluster	1467.37453009455	1403.71023251963	1520.74896613205	60	23	20	10000	0	pl_expert_gene_components
well_studied.rice	well_studied	Rice	OpenAI	gene_cluster	1467.37453009455	1425.23357011448	1505.77625156125	60	23	20	10000	0	pl_expert_gene_components
well_studied.rice	well_studied	Rice	Phytomni	crossed_expert_gene	1708.28954558667	1593.83494751417	1898.13688972399	60	23	20	10000	0	pl_expert_gene_components
well_studied.rice	well_studied	Rice	Phytomni	expert_cluster	1708.28954558667	1622.24688583796	1842.58769395988	60	23	20	10000	0	pl_expert_gene_components
well_studied.rice	well_studied	Rice	Phytomni	gene_cluster	1708.28954558667	1652.80233568461	1773.44222645191	60	23	20	10000	0	pl_expert_gene_components
well_studied.rice	well_studied	Rice	Claude	crossed_expert_gene	1496.22489211281	1409.2006320502	1587.65690869743	60	23	20	10000	0	pl_expert_gene_components
well_studied.rice	well_studied	Rice	Claude	expert_cluster	1496.22489211281	1449.69544344159	1550.1888758597	60	23	20	10000	0	pl_expert_gene_components
well_studied.rice	well_studied	Rice	Claude	gene_cluster	1496.22489211281	1447.9449516148	1548.86336689234	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	Gemini	crossed_expert_gene	1575.077012705	1507.01149514123	1644.03663016949	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	Gemini	expert_cluster	1575.077012705	1537.1244528455	1615.82355358902	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	Gemini	gene_cluster	1575.077012705	1542.26598523114	1609.26164327101	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	Grok	crossed_expert_gene	1379.26601285811	1235.66058646626	1487.24911478257	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	Grok	expert_cluster	1379.26601285811	1274.94155033207	1459.2627530379	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	Grok	gene_cluster	1379.26601285811	1324.02548564364	1422.10659605085	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	OpenAI	crossed_expert_gene	1490.62622744301	1403.20181422378	1573.17876159871	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	OpenAI	expert_cluster	1490.62622744301	1437.83250581524	1546.22607966894	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	OpenAI	gene_cluster	1490.62622744301	1444.58944974026	1535.72018765693	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	Phytomni	crossed_expert_gene	1574.57066406361	1462.48122440082	1724.30889276879	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	Phytomni	expert_cluster	1574.57066406361	1494.35552078902	1674.87265097281	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	Phytomni	gene_cluster	1574.57066406361	1517.56161603323	1648.71526208064	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	Claude	crossed_expert_gene	1480.46008293027	1390.87277855606	1560.11177025235	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	Claude	expert_cluster	1480.46008293027	1426.13718410724	1534.3415721184	60	23	20	10000	0	pl_expert_gene_components
well_studied.maize	well_studied	Maize	Claude	gene_cluster	1480.46008293027	1436.02411912769	1519.63962202521	60	23	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	Gemini	crossed_expert_gene	1567.79568795364	1465.57077654438	1674.72058460384	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	Gemini	expert_cluster	1567.79568795364	1506.20344171567	1634.74699579844	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	Gemini	gene_cluster	1567.79568795364	1512.58834900161	1623.30774027593	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	Grok	crossed_expert_gene	1349.99268920106	1227.47945634064	1441.96134275372	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	Grok	expert_cluster	1349.99268920106	1270.73415876905	1409.71555696996	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	Grok	gene_cluster	1349.99268920106	1298.06651686331	1393.78407484217	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	OpenAI	crossed_expert_gene	1490.03723956555	1409.16173784722	1576.51504010407	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	OpenAI	expert_cluster	1490.03723956555	1446.8959710887	1541.82456686828	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	OpenAI	gene_cluster	1490.03723956555	1441.63383407305	1539.20484382267	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	Phytomni	crossed_expert_gene	1544.75103210282	1461.58691449988	1633.74494009712	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	Phytomni	expert_cluster	1544.75103210282	1493.0150252557	1600.74887526533	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	Phytomni	gene_cluster	1544.75103210282	1504.68681230533	1588.28652346919	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	Claude	crossed_expert_gene	1547.42335117693	1477.9742995282	1628.63779575538	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	Claude	expert_cluster	1547.42335117693	1505.72825931738	1598.83157534557	60	24	20	10000	0	pl_expert_gene_components
well_studied.wheat	well_studied	Wheat	Claude	gene_cluster	1547.42335117693	1511.9536618208	1584.42904738095	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	Gemini	crossed_expert_gene	1534.68403292029	1461.06101924611	1619.30173017633	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	Gemini	expert_cluster	1534.68403292029	1489.58625576691	1584.1451361608	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	Gemini	gene_cluster	1534.68403292029	1498.38472814531	1579.48047962157	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	Grok	crossed_expert_gene	1273.48933496217	1111.18544344148	1372.86474724075	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	Grok	expert_cluster	1273.48933496217	1186.35305966548	1332.14046678611	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	Grok	gene_cluster	1273.48933496217	1181.50622056167	1338.45504106445	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	OpenAI	crossed_expert_gene	1528.45442445166	1435.11543333978	1630.59644753516	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	OpenAI	expert_cluster	1528.45442445166	1469.22563592081	1595.63944185262	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	OpenAI	gene_cluster	1528.45442445166	1478.85305620046	1582.74892016339	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	Phytomni	crossed_expert_gene	1565.82350469839	1461.57482183154	1702.67186225356	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	Phytomni	expert_cluster	1565.82350469839	1494.56427657775	1657.63218303198	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	Phytomni	gene_cluster	1565.82350469839	1516.06026579876	1626.17855933117	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	Claude	crossed_expert_gene	1597.5487029675	1516.97870223753	1691.79528594664	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	Claude	expert_cluster	1597.5487029675	1550.42954491758	1653.72428226038	60	24	20	10000	0	pl_expert_gene_components
well_studied.soybean	well_studied	Soybean	Claude	gene_cluster	1597.5487029675	1555.74138772054	1643.68649603326	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	Gemini	crossed_expert_gene	1546.33595242761	1440.3931687344	1651.89562225551	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	Gemini	expert_cluster	1546.33595242761	1472.70724227359	1620.64149757287	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	Gemini	gene_cluster	1546.33595242761	1497.45330977541	1599.73860418242	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	Grok	crossed_expert_gene	1304.62520489798	1120.3647047406	1414.92131194535	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	Grok	expert_cluster	1304.62520489798	1164.61272497969	1396.41484879978	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	Grok	gene_cluster	1304.62520489798	1228.96225248411	1359.62360978512	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	OpenAI	crossed_expert_gene	1414.67785877764	1275.64320852858	1530.38501316977	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	OpenAI	expert_cluster	1414.67785877764	1317.50470142478	1493.16363431515	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	OpenAI	gene_cluster	1414.67785877764	1347.31123120305	1480.72301571803	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	Phytomni	crossed_expert_gene	1666.25875189486	1530.75926796673	1879.98955594603	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	Phytomni	expert_cluster	1666.25875189486	1555.56474054417	1829.02305062544	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	Phytomni	gene_cluster	1666.25875189486	1599.9721116695	1756.68160365962	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	Claude	crossed_expert_gene	1568.10223200191	1498.07362022294	1651.3814686828	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	Claude	expert_cluster	1568.10223200191	1524.08200680402	1619.00948641684	60	24	20	10000	0	pl_expert_gene_components
well_studied.arabidopsis	well_studied	Arabidopsis	Claude	gene_cluster	1568.10223200191	1533.51516330832	1608.68058925174	60	24	20	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	Gemini	crossed_expert_gene	1540.84530742586	1502.62122914508	1580.10752370362	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	Gemini	expert_cluster	1540.84530742586	1516.70793206465	1566.18981275934	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	Gemini	gene_cluster	1540.84530742586	1519.98193862365	1561.7895719805	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	Grok	crossed_expert_gene	1316.26567369582	1258.18561878807	1364.58041525108	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	Grok	expert_cluster	1316.26567369582	1275.98165102067	1352.28798085388	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	Grok	gene_cluster	1316.26567369582	1290.21073432383	1340.18494504138	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	OpenAI	crossed_expert_gene	1493.99091890993	1458.34979451759	1528.60760181733	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	OpenAI	expert_cluster	1493.99091890993	1472.15533072671	1515.63558547684	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	OpenAI	gene_cluster	1493.99091890993	1473.90026834069	1514.12601637122	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	Phytomni	crossed_expert_gene	1620.54281805443	1573.36212020577	1673.3484630992	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	Phytomni	expert_cluster	1620.54281805443	1588.11100419626	1656.42113613327	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	Phytomni	gene_cluster	1620.54281805443	1596.00965499081	1646.56543504913	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	Claude	crossed_expert_gene	1528.35528191396	1485.56661991192	1571.62660324385	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	Claude	expert_cluster	1528.35528191396	1500.3717757927	1557.14214296876	300	115	100	10000	0	pl_expert_gene_components
uncharacterized	uncharacterized	all	Claude	gene_cluster	1528.35528191396	1504.48476881772	1553.47224317191	300	115	100	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	Gemini	crossed_expert_gene	1538.47208638775	1450.56872798767	1638.40947476019	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	Gemini	expert_cluster	1538.47208638775	1485.47366427484	1603.52570227685	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	Gemini	gene_cluster	1538.47208638775	1489.52631474015	1589.09257130417	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	Grok	crossed_expert_gene	1283.02694293285	1070.86890557346	1421.90479584656	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	Grok	expert_cluster	1283.02694293285	1128.46194134828	1389.69107800651	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	Grok	gene_cluster	1283.02694293285	1199.59125736322	1345.52042492924	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	OpenAI	crossed_expert_gene	1444.79570656259	1360.89746689828	1529.86979958978	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	OpenAI	expert_cluster	1444.79570656259	1393.49628780224	1499.51983610406	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	OpenAI	gene_cluster	1444.79570656259	1401.92259169189	1488.61294298595	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	Phytomni	crossed_expert_gene	1676.280657558	1553.85299904137	1852.90587676559	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	Phytomni	expert_cluster	1676.280657558	1589.28411483106	1802.59884218882	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	Phytomni	gene_cluster	1676.280657558	1612.61977567894	1752.46978932062	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	Claude	crossed_expert_gene	1557.42460655881	1484.80885079732	1640.87660043652	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	Claude	expert_cluster	1557.42460655881	1509.80528777995	1611.28153240099	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.rice	uncharacterized	Rice	Claude	gene_cluster	1557.42460655881	1528.14028049937	1592.08032360955	60	23	20	10000	0	pl_expert_gene_components
uncharacterized.maize	uncharacterized	Maize	Gemini	crossed_expert_gene	1513.77373833612	1421.96503483187	1602.67553601296	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.maize	uncharacterized	Maize	Gemini	expert_cluster	1513.77373833612	1456.82613875137	1567.8538571649	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.maize	uncharacterized	Maize	Gemini	gene_cluster	1513.77373833612	1470.382655324	1562.98986197447	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.maize	uncharacterized	Maize	Grok	crossed_expert_gene	1360.1388436797	1226.2797834161	1455.56979305298	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.maize	uncharacterized	Maize	Grok	expert_cluster	1360.1388436797	1262.73252147466	1433.62116450868	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.maize	uncharacterized	Maize	Grok	gene_cluster	1360.1388436797	1311.94041584381	1400.04574457643	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.maize	uncharacterized	Maize	OpenAI	crossed_expert_gene	1523.17310855991	1428.37917434647	1614.36411290464	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.maize	uncharacterized	Maize	OpenAI	expert_cluster	1523.17310855991	1459.94108727309	1589.16519065809	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.maize	uncharacterized	Maize	OpenAI	gene_cluster	1523.17310855991	1481.35103249661	1563.6165642102	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.maize	uncharacterized	Maize	Phytomni	crossed_expert_gene	1610.20381722982	1517.82366259732	1726.64521344996	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.maize	uncharacterized	Maize	Phytomni	expert_cluster	1610.20381722982	1547.93434308979	1691.47539399882	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.maize	uncharacterized	Maize	Phytomni	gene_cluster	1610.20381722982	1560.46937426974	1667.004708577	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.maize	uncharacterized	Maize	Claude	crossed_expert_gene	1492.71049219445	1398.1872819704	1589.86045513698	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.maize	uncharacterized	Maize	Claude	expert_cluster	1492.71049219445	1436.13381438754	1549.20816777529	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.maize	uncharacterized	Maize	Claude	gene_cluster	1492.71049219445	1440.22796105845	1548.38480600541	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.wheat	uncharacterized	Wheat	Gemini	crossed_expert_gene	1520.66165483378	1441.34697093509	1614.19425914448	60	22	20	10000	0	pl_expert_gene_components
uncharacterized.wheat	uncharacterized	Wheat	Gemini	expert_cluster	1520.66165483378	1472.21734567701	1577.91521659792	60	22	20	10000	0	pl_expert_gene_components
uncharacterized.wheat	uncharacterized	Wheat	Gemini	gene_cluster	1520.66165483378	1478.8950254937	1567.77027812796	60	22	20	10000	0	pl_expert_gene_components
uncharacterized.wheat	uncharacterized	Wheat	Grok	crossed_expert_gene	1338.55916381539	1193.87618272828	1441.17931533619	60	22	20	10000	0	pl_expert_gene_components
uncharacterized.wheat	uncharacterized	Wheat	Grok	expert_cluster	1338.55916381539	1241.50360484156	1411.02955393853	60	22	20	10000	0	pl_expert_gene_components
uncharacterized.wheat	uncharacterized	Wheat	Grok	gene_cluster	1338.55916381539	1276.29204377899	1391.70346402191	60	22	20	10000	0	pl_expert_gene_components
uncharacterized.wheat	uncharacterized	Wheat	OpenAI	crossed_expert_gene	1532.89055018421	1451.42021067535	1622.58218952601	60	22	20	10000	0	pl_expert_gene_components
uncharacterized.wheat	uncharacterized	Wheat	OpenAI	expert_cluster	1532.89055018421	1488.45331932253	1582.95186831059	60	22	20	10000	0	pl_expert_gene_components
uncharacterized.wheat	uncharacterized	Wheat	OpenAI	gene_cluster	1532.89055018421	1483.9419440763	1586.149016427	60	22	20	10000	0	pl_expert_gene_components
uncharacterized.wheat	uncharacterized	Wheat	Phytomni	crossed_expert_gene	1567.42856674542	1481.15930717994	1668.82407098494	60	22	20	10000	0	pl_expert_gene_components
uncharacterized.wheat	uncharacterized	Wheat	Phytomni	expert_cluster	1567.42856674542	1507.73782939596	1639.06342426579	60	22	20	10000	0	pl_expert_gene_components
uncharacterized.wheat	uncharacterized	Wheat	Phytomni	gene_cluster	1567.42856674542	1528.35881303109	1612.27249882349	60	22	20	10000	0	pl_expert_gene_components
uncharacterized.wheat	uncharacterized	Wheat	Claude	crossed_expert_gene	1540.4600644212	1442.79747519822	1645.19908324177	60	22	20	10000	0	pl_expert_gene_components
uncharacterized.wheat	uncharacterized	Wheat	Claude	expert_cluster	1540.4600644212	1482.65796426544	1605.04737953561	60	22	20	10000	0	pl_expert_gene_components
uncharacterized.wheat	uncharacterized	Wheat	Claude	gene_cluster	1540.4600644212	1483.6483536871	1602.54968001644	60	22	20	10000	0	pl_expert_gene_components
uncharacterized.soybean	uncharacterized	Soybean	Gemini	crossed_expert_gene	1544.12575356735	1435.60752535157	1650.12909909446	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.soybean	uncharacterized	Soybean	Gemini	expert_cluster	1544.12575356735	1480.44695708925	1610.33192319942	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.soybean	uncharacterized	Soybean	Gemini	gene_cluster	1544.12575356735	1482.54261279625	1604.33820826818	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.soybean	uncharacterized	Soybean	Grok	crossed_expert_gene	1289.07752168028	1136.49341487207	1390.13056314524	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.soybean	uncharacterized	Soybean	Grok	expert_cluster	1289.07752168028	1202.64959562015	1357.92882758658	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.soybean	uncharacterized	Soybean	Grok	gene_cluster	1289.07752168028	1219.96261391557	1343.77438979002	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.soybean	uncharacterized	Soybean	OpenAI	crossed_expert_gene	1512.66720368721	1440.0609196598	1593.23209858175	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.soybean	uncharacterized	Soybean	OpenAI	expert_cluster	1512.66720368721	1468.38434722304	1562.06842493595	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.soybean	uncharacterized	Soybean	OpenAI	gene_cluster	1512.66720368721	1471.50121627911	1552.87076727904	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.soybean	uncharacterized	Soybean	Phytomni	crossed_expert_gene	1627.49120516115	1530.82299551595	1757.33596324091	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.soybean	uncharacterized	Soybean	Phytomni	expert_cluster	1627.49120516115	1560.51661223997	1712.35086025524	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.soybean	uncharacterized	Soybean	Phytomni	gene_cluster	1627.49120516115	1586.95846930316	1678.62203828481	60	24	20	10000	0	pl_expert_gene_components
uncharacterized.soybean	uncharacterized	Soybean	Claude	crossed_expert_gene	1526.63831590402	1427.57464360239	1628.93399650324	60	24	20	10000	0	pl_expert_gene_components
