Species	Gene	StudyStatus	Model	SourceResponseID	TargetResponseID	WindowJudgmentCount	EntailmentCount	ContradictionCount	NeutralCount	SupportRatio	ContradictionRatio	JudgmentLogSHA256
Arabidopsis	AT1G51040	uncharacterized	Claude	rep_3	rep_1	22	8	11	3	0.363636363636364	0.5	4620d066509c66243538c8258a45653a6e62921c65d9e56d7c8811e9d570bc51
Arabidopsis	AT1G51040	uncharacterized	Claude	rep_3	rep_2	22	1	15	6	0.0454545454545455	0.681818181818182	4620d066509c66243538c8258a45653a6e62921c65d9e56d7c8811e9d570bc51
Arabidopsis	AT1G66250	uncharacterized	Claude	rep_1	rep_2	34	22	10	2	0.647058823529412	0.294117647058824	dba6d678ce54c72b060949c07be07885ec3841cb57df4e016f4f3c0752116f85
Arabidopsis	AT1G66250	uncharacterized	Claude	rep_1	rep_3	34	18	12	4	0.529411764705882	0.352941176470588	dba6d678ce54c72b060949c07be07885ec3841cb57df4e016f4f3c0752116f85
Arabidopsis	AT1G66250	uncharacterized	Claude	rep_2	rep_1	63	21	34	8	0.333333333333333	0.53968253968254	dba6d678ce54c72b060949c07be07885ec3841cb57df4e016f4f3c0752116f85
Arabidopsis	AT1G66250	uncharacterized	Claude	rep_2	rep_3	63	30	19	14	0.476190476190476	0.301587301587302	dba6d678ce54c72b060949c07be07885ec3841cb57df4e016f4f3c0752116f85
Arabidopsis	AT1G66250	uncharacterized	Claude	rep_3	rep_1	56	19	23	14	0.339285714285714	0.410714285714286	dba6d678ce54c72b060949c07be07885ec3841cb57df4e016f4f3c0752116f85
Arabidopsis	AT1G66250	uncharacterized	Claude	rep_3	rep_2	56	18	22	16	0.321428571428571	0.392857142857143	dba6d678ce54c72b060949c07be07885ec3841cb57df4e016f4f3c0752116f85
Arabidopsis	AT1G73950	uncharacterized	Claude	rep_1	rep_2	49	1	33	15	0.0204081632653061	0.673469387755102	ddf0c054bf7061ff177d0db8da880de1d20f9687ac5484c177a675f2d01f67c1
Arabidopsis	AT1G73950	uncharacterized	Claude	rep_1	rep_3	49	1	32	16	0.0204081632653061	0.653061224489796	ddf0c054bf7061ff177d0db8da880de1d20f9687ac5484c177a675f2d01f67c1
Arabidopsis	AT1G73950	uncharacterized	Claude	rep_2	rep_1	36	1	27	8	0.0277777777777778	0.75	ddf0c054bf7061ff177d0db8da880de1d20f9687ac5484c177a675f2d01f67c1
Arabidopsis	AT1G73950	uncharacterized	Claude	rep_2	rep_3	36	1	28	7	0.0277777777777778	0.777777777777778	ddf0c054bf7061ff177d0db8da880de1d20f9687ac5484c177a675f2d01f67c1
Arabidopsis	AT1G73950	uncharacterized	Claude	rep_3	rep_1	38	7	26	5	0.184210526315789	0.684210526315789	ddf0c054bf7061ff177d0db8da880de1d20f9687ac5484c177a675f2d01f67c1
Arabidopsis	AT1G73950	uncharacterized	Claude	rep_3	rep_2	38	3	25	10	0.0789473684210526	0.657894736842105	ddf0c054bf7061ff177d0db8da880de1d20f9687ac5484c177a675f2d01f67c1
Arabidopsis	AT1G77480	uncharacterized	Claude	rep_1	rep_2	45	18	20	7	0.4	0.444444444444444	272a9dbfa562aa1ef4bcb6fcceac1e7cfefb16cc3a57371aa094116321fc28b5
Arabidopsis	AT1G77480	uncharacterized	Claude	rep_1	rep_3	45	20	15	10	0.444444444444444	0.333333333333333	272a9dbfa562aa1ef4bcb6fcceac1e7cfefb16cc3a57371aa094116321fc28b5
Arabidopsis	AT1G77480	uncharacterized	Claude	rep_2	rep_1	34	21	11	2	0.617647058823529	0.323529411764706	272a9dbfa562aa1ef4bcb6fcceac1e7cfefb16cc3a57371aa094116321fc28b5
Arabidopsis	AT1G77480	uncharacterized	Claude	rep_2	rep_3	34	19	12	3	0.558823529411765	0.352941176470588	272a9dbfa562aa1ef4bcb6fcceac1e7cfefb16cc3a57371aa094116321fc28b5
Arabidopsis	AT1G77480	uncharacterized	Claude	rep_3	rep_1	50	31	17	2	0.62	0.34	272a9dbfa562aa1ef4bcb6fcceac1e7cfefb16cc3a57371aa094116321fc28b5
Arabidopsis	AT1G77480	uncharacterized	Claude	rep_3	rep_2	50	22	25	3	0.44	0.5	272a9dbfa562aa1ef4bcb6fcceac1e7cfefb16cc3a57371aa094116321fc28b5
Arabidopsis	AT2G47120	uncharacterized	Claude	rep_1	rep_2	40	25	12	3	0.625	0.3	dd17247a301fb1151a616707fb8c169251c64a67858e023921aa24a36c2e90e4
Arabidopsis	AT2G47120	uncharacterized	Claude	rep_1	rep_3	40	20	12	8	0.5	0.3	dd17247a301fb1151a616707fb8c169251c64a67858e023921aa24a36c2e90e4
Arabidopsis	AT2G47120	uncharacterized	Claude	rep_2	rep_1	52	28	15	9	0.538461538461538	0.288461538461538	dd17247a301fb1151a616707fb8c169251c64a67858e023921aa24a36c2e90e4
Arabidopsis	AT2G47120	uncharacterized	Claude	rep_2	rep_3	52	25	14	13	0.480769230769231	0.269230769230769	dd17247a301fb1151a616707fb8c169251c64a67858e023921aa24a36c2e90e4
Arabidopsis	AT2G47120	uncharacterized	Claude	rep_3	rep_1	38	26	7	5	0.684210526315789	0.184210526315789	dd17247a301fb1151a616707fb8c169251c64a67858e023921aa24a36c2e90e4
Arabidopsis	AT2G47120	uncharacterized	Claude	rep_3	rep_2	38	28	6	4	0.736842105263158	0.157894736842105	dd17247a301fb1151a616707fb8c169251c64a67858e023921aa24a36c2e90e4
Arabidopsis	AT2G47150	uncharacterized	Claude	rep_1	rep_2	27	9	11	7	0.333333333333333	0.407407407407407	69e5ddcdb30d9e543e676dc7e4ef5629f0491c713eb9efb8d72c1122704ffbbb
Arabidopsis	AT2G47150	uncharacterized	Claude	rep_1	rep_3	27	12	10	5	0.444444444444444	0.37037037037037	69e5ddcdb30d9e543e676dc7e4ef5629f0491c713eb9efb8d72c1122704ffbbb
Arabidopsis	AT2G47150	uncharacterized	Claude	rep_2	rep_1	34	12	16	6	0.352941176470588	0.470588235294118	69e5ddcdb30d9e543e676dc7e4ef5629f0491c713eb9efb8d72c1122704ffbbb
Arabidopsis	AT2G47150	uncharacterized	Claude	rep_2	rep_3	34	9	21	4	0.264705882352941	0.617647058823529	69e5ddcdb30d9e543e676dc7e4ef5629f0491c713eb9efb8d72c1122704ffbbb
Arabidopsis	AT2G47150	uncharacterized	Claude	rep_3	rep_1	50	9	16	25	0.18	0.32	69e5ddcdb30d9e543e676dc7e4ef5629f0491c713eb9efb8d72c1122704ffbbb
Arabidopsis	AT2G47150	uncharacterized	Claude	rep_3	rep_2	50	8	19	23	0.16	0.38	69e5ddcdb30d9e543e676dc7e4ef5629f0491c713eb9efb8d72c1122704ffbbb
Arabidopsis	AT3G11280	uncharacterized	Claude	rep_1	rep_2	48	11	26	11	0.229166666666667	0.541666666666667	3fa3f11341bf4474735e420e0399396fde5f1339fbdfdbcd268a0ee85149777e
Arabidopsis	AT3G11280	uncharacterized	Claude	rep_1	rep_3	48	14	25	9	0.291666666666667	0.520833333333333	3fa3f11341bf4474735e420e0399396fde5f1339fbdfdbcd268a0ee85149777e
Arabidopsis	AT3G11280	uncharacterized	Claude	rep_2	rep_1	39	11	24	4	0.282051282051282	0.615384615384615	3fa3f11341bf4474735e420e0399396fde5f1339fbdfdbcd268a0ee85149777e
Arabidopsis	AT3G11280	uncharacterized	Claude	rep_2	rep_3	39	10	26	3	0.256410256410256	0.666666666666667	3fa3f11341bf4474735e420e0399396fde5f1339fbdfdbcd268a0ee85149777e
Arabidopsis	AT3G11280	uncharacterized	Claude	rep_3	rep_1	47	31	15	1	0.659574468085106	0.319148936170213	3fa3f11341bf4474735e420e0399396fde5f1339fbdfdbcd268a0ee85149777e
Arabidopsis	AT3G11280	uncharacterized	Claude	rep_3	rep_2	47	17	23	7	0.361702127659574	0.48936170212766	3fa3f11341bf4474735e420e0399396fde5f1339fbdfdbcd268a0ee85149777e
Arabidopsis	AT3G29260	uncharacterized	Claude	rep_1	rep_2	37	12	24	1	0.324324324324324	0.648648648648649	6e6828647d515229a4d4bafaa231f7192c5c32a6bc942b1fecc3c2401b377f84
Arabidopsis	AT3G29260	uncharacterized	Claude	rep_1	rep_3	37	21	14	2	0.567567567567568	0.378378378378378	6e6828647d515229a4d4bafaa231f7192c5c32a6bc942b1fecc3c2401b377f84
Arabidopsis	AT3G29260	uncharacterized	Claude	rep_2	rep_1	48	24	16	8	0.5	0.333333333333333	6e6828647d515229a4d4bafaa231f7192c5c32a6bc942b1fecc3c2401b377f84
Arabidopsis	AT3G29260	uncharacterized	Claude	rep_2	rep_3	48	17	19	12	0.354166666666667	0.395833333333333	6e6828647d515229a4d4bafaa231f7192c5c32a6bc942b1fecc3c2401b377f84
Arabidopsis	AT3G29260	uncharacterized	Claude	rep_3	rep_1	38	9	19	10	0.236842105263158	0.5	6e6828647d515229a4d4bafaa231f7192c5c32a6bc942b1fecc3c2401b377f84
Arabidopsis	AT3G29260	uncharacterized	Claude	rep_3	rep_2	38	4	29	5	0.105263157894737	0.763157894736842	6e6828647d515229a4d4bafaa231f7192c5c32a6bc942b1fecc3c2401b377f84
Arabidopsis	AT4G01730	uncharacterized	Claude	rep_1	rep_2	55	0	39	16	0	0.709090909090909	a1f642f808443ba27be0e7a44f1591003cd9fe71578b383f5e105f169a66a8d1
Arabidopsis	AT4G01730	uncharacterized	Claude	rep_1	rep_3	55	1	38	16	0.0181818181818182	0.690909090909091	a1f642f808443ba27be0e7a44f1591003cd9fe71578b383f5e105f169a66a8d1
Arabidopsis	AT4G01730	uncharacterized	Claude	rep_2	rep_1	35	1	26	8	0.0285714285714286	0.742857142857143	a1f642f808443ba27be0e7a44f1591003cd9fe71578b383f5e105f169a66a8d1
Arabidopsis	AT4G01730	uncharacterized	Claude	rep_2	rep_3	35	1	29	5	0.0285714285714286	0.828571428571429	a1f642f808443ba27be0e7a44f1591003cd9fe71578b383f5e105f169a66a8d1
Arabidopsis	AT4G01730	uncharacterized	Claude	rep_3	rep_1	53	1	36	16	0.0188679245283019	0.679245283018868	a1f642f808443ba27be0e7a44f1591003cd9fe71578b383f5e105f169a66a8d1
Arabidopsis	AT4G01730	uncharacterized	Claude	rep_3	rep_2	53	0	39	14	0	0.735849056603774	a1f642f808443ba27be0e7a44f1591003cd9fe71578b383f5e105f169a66a8d1
Arabidopsis	AT4G26701	uncharacterized	Claude	rep_1	rep_2	25	8	12	5	0.32	0.48	0dfc3ceb1a50f195ea5b6ff220d97db22e4aa444a110ac55ef54aefb28df8847
Arabidopsis	AT4G26701	uncharacterized	Claude	rep_1	rep_3	25	7	14	4	0.28	0.56	0dfc3ceb1a50f195ea5b6ff220d97db22e4aa444a110ac55ef54aefb28df8847
Arabidopsis	AT4G26701	uncharacterized	Claude	rep_2	rep_1	20	7	9	4	0.35	0.45	0dfc3ceb1a50f195ea5b6ff220d97db22e4aa444a110ac55ef54aefb28df8847
Arabidopsis	AT4G26701	uncharacterized	Claude	rep_2	rep_3	20	1	17	2	0.05	0.85	0dfc3ceb1a50f195ea5b6ff220d97db22e4aa444a110ac55ef54aefb28df8847
Arabidopsis	AT4G26701	uncharacterized	Claude	rep_3	rep_1	29	15	10	4	0.517241379310345	0.344827586206897	0dfc3ceb1a50f195ea5b6ff220d97db22e4aa444a110ac55ef54aefb28df8847
Arabidopsis	AT4G26701	uncharacterized	Claude	rep_3	rep_2	29	3	23	3	0.103448275862069	0.793103448275862	0dfc3ceb1a50f195ea5b6ff220d97db22e4aa444a110ac55ef54aefb28df8847
Arabidopsis	AT4G33490	uncharacterized	Claude	rep_1	rep_2	87	28	43	16	0.32183908045977	0.494252873563218	4bf2bcc7a0d0db34b4e0d1996995556a776c4243c3e994f43cd381edb4eace8e
Arabidopsis	AT4G33490	uncharacterized	Claude	rep_1	rep_3	87	43	25	19	0.494252873563218	0.28735632183908	4bf2bcc7a0d0db34b4e0d1996995556a776c4243c3e994f43cd381edb4eace8e
Arabidopsis	AT4G33490	uncharacterized	Claude	rep_2	rep_1	40	14	22	4	0.35	0.55	4bf2bcc7a0d0db34b4e0d1996995556a776c4243c3e994f43cd381edb4eace8e
Arabidopsis	AT4G33490	uncharacterized	Claude	rep_2	rep_3	40	13	24	3	0.325	0.6	4bf2bcc7a0d0db34b4e0d1996995556a776c4243c3e994f43cd381edb4eace8e
Arabidopsis	AT4G33490	uncharacterized	Claude	rep_3	rep_1	47	28	13	6	0.595744680851064	0.276595744680851	4bf2bcc7a0d0db34b4e0d1996995556a776c4243c3e994f43cd381edb4eace8e
Arabidopsis	AT4G33490	uncharacterized	Claude	rep_3	rep_2	47	15	26	6	0.319148936170213	0.553191489361702	4bf2bcc7a0d0db34b4e0d1996995556a776c4243c3e994f43cd381edb4eace8e
Arabidopsis	AT5G01200	uncharacterized	Claude	rep_1	rep_2	32	3	25	4	0.09375	0.78125	c48587013949e34377a471e7d18274dcd9431f048954dd80ab076cf00119ba85
Arabidopsis	AT5G01200	uncharacterized	Claude	rep_1	rep_3	32	6	23	3	0.1875	0.71875	c48587013949e34377a471e7d18274dcd9431f048954dd80ab076cf00119ba85
Arabidopsis	AT5G01200	uncharacterized	Claude	rep_2	rep_1	45	4	22	19	0.0888888888888889	0.488888888888889	c48587013949e34377a471e7d18274dcd9431f048954dd80ab076cf00119ba85
Arabidopsis	AT5G01200	uncharacterized	Claude	rep_2	rep_3	45	5	18	22	0.111111111111111	0.4	c48587013949e34377a471e7d18274dcd9431f048954dd80ab076cf00119ba85
Arabidopsis	AT5G01200	uncharacterized	Claude	rep_3	rep_1	55	10	32	13	0.181818181818182	0.581818181818182	c48587013949e34377a471e7d18274dcd9431f048954dd80ab076cf00119ba85
Arabidopsis	AT5G01200	uncharacterized	Claude	rep_3	rep_2	55	6	33	16	0.109090909090909	0.6	c48587013949e34377a471e7d18274dcd9431f048954dd80ab076cf00119ba85
Arabidopsis	AT5G05790	uncharacterized	Claude	rep_1	rep_2	35	7	18	10	0.2	0.514285714285714	2bdd11fbd35fb8044e743d5638f1927504db4797a4955e8d9d05e131017bc1ec
Arabidopsis	AT5G05790	uncharacterized	Claude	rep_1	rep_3	35	5	19	11	0.142857142857143	0.542857142857143	2bdd11fbd35fb8044e743d5638f1927504db4797a4955e8d9d05e131017bc1ec
Arabidopsis	AT5G05790	uncharacterized	Claude	rep_2	rep_1	57	7	20	30	0.12280701754386	0.350877192982456	2bdd11fbd35fb8044e743d5638f1927504db4797a4955e8d9d05e131017bc1ec
Arabidopsis	AT5G05790	uncharacterized	Claude	rep_2	rep_3	57	11	16	30	0.192982456140351	0.280701754385965	2bdd11fbd35fb8044e743d5638f1927504db4797a4955e8d9d05e131017bc1ec
Arabidopsis	AT5G05790	uncharacterized	Claude	rep_3	rep_1	37	7	26	4	0.189189189189189	0.702702702702703	2bdd11fbd35fb8044e743d5638f1927504db4797a4955e8d9d05e131017bc1ec
Arabidopsis	AT5G05790	uncharacterized	Claude	rep_3	rep_2	37	20	11	6	0.540540540540541	0.297297297297297	2bdd11fbd35fb8044e743d5638f1927504db4797a4955e8d9d05e131017bc1ec
Arabidopsis	AT5G13250	uncharacterized	Claude	rep_1	rep_2	41	29	6	6	0.707317073170732	0.146341463414634	1f34cb14accc6ebd91bf284c7f2676540618f47cc79f3e4e5658580830d538f0
Arabidopsis	AT5G13250	uncharacterized	Claude	rep_1	rep_3	41	29	8	4	0.707317073170732	0.195121951219512	1f34cb14accc6ebd91bf284c7f2676540618f47cc79f3e4e5658580830d538f0
Arabidopsis	AT5G13250	uncharacterized	Claude	rep_2	rep_1	44	15	16	13	0.340909090909091	0.363636363636364	1f34cb14accc6ebd91bf284c7f2676540618f47cc79f3e4e5658580830d538f0
Arabidopsis	AT5G13250	uncharacterized	Claude	rep_2	rep_3	44	23	11	10	0.522727272727273	0.25	1f34cb14accc6ebd91bf284c7f2676540618f47cc79f3e4e5658580830d538f0
Arabidopsis	AT5G13250	uncharacterized	Claude	rep_3	rep_1	33	18	12	3	0.545454545454545	0.363636363636364	1f34cb14accc6ebd91bf284c7f2676540618f47cc79f3e4e5658580830d538f0
Arabidopsis	AT5G13250	uncharacterized	Claude	rep_3	rep_2	33	20	13	0	0.606060606060606	0.393939393939394	1f34cb14accc6ebd91bf284c7f2676540618f47cc79f3e4e5658580830d538f0
Arabidopsis	AT5G57890	uncharacterized	Claude	rep_1	rep_2	35	15	17	3	0.428571428571429	0.485714285714286	56afc0d0e1e569bbbcee52ff173bfec1c00c5b31c14bb92f1f372fc306a203ab
Arabidopsis	AT5G57890	uncharacterized	Claude	rep_1	rep_3	35	24	8	3	0.685714285714286	0.228571428571429	56afc0d0e1e569bbbcee52ff173bfec1c00c5b31c14bb92f1f372fc306a203ab
Arabidopsis	AT5G57890	uncharacterized	Claude	rep_2	rep_1	40	15	16	9	0.375	0.4	56afc0d0e1e569bbbcee52ff173bfec1c00c5b31c14bb92f1f372fc306a203ab
Arabidopsis	AT5G57890	uncharacterized	Claude	rep_2	rep_3	40	23	10	7	0.575	0.25	56afc0d0e1e569bbbcee52ff173bfec1c00c5b31c14bb92f1f372fc306a203ab
Arabidopsis	AT5G57890	uncharacterized	Claude	rep_3	rep_1	47	30	10	7	0.638297872340426	0.212765957446809	56afc0d0e1e569bbbcee52ff173bfec1c00c5b31c14bb92f1f372fc306a203ab
Arabidopsis	AT5G57890	uncharacterized	Claude	rep_3	rep_2	47	22	19	6	0.468085106382979	0.404255319148936	56afc0d0e1e569bbbcee52ff173bfec1c00c5b31c14bb92f1f372fc306a203ab
Arabidopsis	AT5G67460	uncharacterized	Claude	rep_1	rep_2	23	2	19	2	0.0869565217391304	0.826086956521739	945332bcf2a182823c6008084672b2bed0923c4cc3dc97a1033246dcd8cba41a
Arabidopsis	AT5G67460	uncharacterized	Claude	rep_1	rep_3	23	5	15	3	0.217391304347826	0.652173913043478	945332bcf2a182823c6008084672b2bed0923c4cc3dc97a1033246dcd8cba41a
Arabidopsis	AT5G67460	uncharacterized	Claude	rep_2	rep_1	33	0	26	7	0	0.787878787878788	945332bcf2a182823c6008084672b2bed0923c4cc3dc97a1033246dcd8cba41a
Arabidopsis	AT5G67460	uncharacterized	Claude	rep_2	rep_3	33	0	23	10	0	0.696969696969697	945332bcf2a182823c6008084672b2bed0923c4cc3dc97a1033246dcd8cba41a
Arabidopsis	AT5G67460	uncharacterized	Claude	rep_3	rep_1	25	4	18	3	0.16	0.72	945332bcf2a182823c6008084672b2bed0923c4cc3dc97a1033246dcd8cba41a
Arabidopsis	AT5G67460	uncharacterized	Claude	rep_3	rep_2	25	7	16	2	0.28	0.64	945332bcf2a182823c6008084672b2bed0923c4cc3dc97a1033246dcd8cba41a
Soybean	GLYMA_01G005500	uncharacterized	Claude	rep_1	rep_2	35	20	12	3	0.571428571428571	0.342857142857143	0e884a41d3a96b8bb209598c6927b41916316208da9c3dd4ed87a323002a4c9a
Soybean	GLYMA_01G005500	uncharacterized	Claude	rep_1	rep_3	35	23	11	1	0.657142857142857	0.314285714285714	0e884a41d3a96b8bb209598c6927b41916316208da9c3dd4ed87a323002a4c9a
Soybean	GLYMA_01G005500	uncharacterized	Claude	rep_2	rep_1	27	8	15	4	0.296296296296296	0.555555555555556	0e884a41d3a96b8bb209598c6927b41916316208da9c3dd4ed87a323002a4c9a
Soybean	GLYMA_01G005500	uncharacterized	Claude	rep_2	rep_3	27	9	14	4	0.333333333333333	0.518518518518518	0e884a41d3a96b8bb209598c6927b41916316208da9c3dd4ed87a323002a4c9a
Soybean	GLYMA_01G005500	uncharacterized	Claude	rep_3	rep_1	46	22	13	11	0.478260869565217	0.282608695652174	0e884a41d3a96b8bb209598c6927b41916316208da9c3dd4ed87a323002a4c9a
Soybean	GLYMA_01G005500	uncharacterized	Claude	rep_3	rep_2	46	18	19	9	0.391304347826087	0.41304347826087	0e884a41d3a96b8bb209598c6927b41916316208da9c3dd4ed87a323002a4c9a
Soybean	GLYMA_01G104200	uncharacterized	Claude	rep_1	rep_2	21	13	8	0	0.619047619047619	0.380952380952381	9e9b9824e546404f40b3c6e63b84f67c6a38a3bda1a5e4ef7e9dcf4d3a2c1f59
Soybean	GLYMA_01G104200	uncharacterized	Claude	rep_1	rep_3	21	4	17	0	0.19047619047619	0.80952380952381	9e9b9824e546404f40b3c6e63b84f67c6a38a3bda1a5e4ef7e9dcf4d3a2c1f59
Soybean	GLYMA_01G104200	uncharacterized	Claude	rep_2	rep_1	20	8	8	4	0.4	0.4	9e9b9824e546404f40b3c6e63b84f67c6a38a3bda1a5e4ef7e9dcf4d3a2c1f59
Soybean	GLYMA_01G104200	uncharacterized	Claude	rep_2	rep_3	20	2	17	1	0.1	0.85	9e9b9824e546404f40b3c6e63b84f67c6a38a3bda1a5e4ef7e9dcf4d3a2c1f59
Soybean	GLYMA_01G104200	uncharacterized	Claude	rep_3	rep_1	25	4	19	2	0.16	0.76	9e9b9824e546404f40b3c6e63b84f67c6a38a3bda1a5e4ef7e9dcf4d3a2c1f59
Soybean	GLYMA_01G104200	uncharacterized	Claude	rep_3	rep_2	25	2	20	3	0.08	0.8	9e9b9824e546404f40b3c6e63b84f67c6a38a3bda1a5e4ef7e9dcf4d3a2c1f59
Soybean	GLYMA_02G007900	uncharacterized	Claude	rep_1	rep_2	29	9	9	11	0.310344827586207	0.310344827586207	d94b0c7754e2bcd708aa99122d3a83b2851f4b3c66322ad33cd71c8d3b8234c2
Soybean	GLYMA_02G007900	uncharacterized	Claude	rep_1	rep_3	29	12	7	10	0.413793103448276	0.241379310344828	d94b0c7754e2bcd708aa99122d3a83b2851f4b3c66322ad33cd71c8d3b8234c2
Soybean	GLYMA_02G007900	uncharacterized	Claude	rep_2	rep_1	29	10	18	1	0.344827586206897	0.620689655172414	d94b0c7754e2bcd708aa99122d3a83b2851f4b3c66322ad33cd71c8d3b8234c2
Soybean	GLYMA_02G007900	uncharacterized	Claude	rep_2	rep_3	29	11	13	5	0.379310344827586	0.448275862068966	d94b0c7754e2bcd708aa99122d3a83b2851f4b3c66322ad33cd71c8d3b8234c2
