AnonymousExpertID	Species	Gene	StudyStatus	Gemini	Grok	OpenAI	Phytomni	Claude
E007	Soybean	GLYMA_09G238300	well_studied	R4	R5	R2	R1	R3
E007	Soybean	GLYMA_12G224600	well_studied	R4	R5	R3	R1	R2
E007	Soybean	GLYMA_20G068700	uncharacterized	R3	R5	R2	R1	R4
E008	Rice	Os01g0197100	well_studied	R2	R3	R5	R1	R4
E008	Rice	Os01g0678500	well_studied	R4	R3	R5	R1	R2
E008	Rice	Os02g0278700	well_studied	R5	R4	R2	R1	R3
E008	Rice	Os03g0602300	well_studied	R4	R2	R3	R1	R5
E008	Rice	Os11g0521900	uncharacterized	R3	R2	R4	R1	R5
E009	Wheat	TraesCS2D02G548900	well_studied	R5	R4	R3	R2	R1
E009	Wheat	TraesCS3D02G124500	well_studied	R4	R3	R2	R5	R1
E009	Wheat	TraesCS5A02G355200	uncharacterized	R5	R2	R1	R3	R4
E009	Wheat	TraesCS5A02G376500	well_studied	R3	R5	R2	R4	R1
E009	Wheat	TraesCS6A02G263000	uncharacterized	R4	R3	R2	R5	R1
E010	Wheat	TraesCS1D02G150300	uncharacterized	R4	R3	R5	R2	R1
E010	Wheat	TraesCS2A02G425500	uncharacterized	R4	R5	R2	R1	R3
E010	Wheat	TraesCS2B02G004500	uncharacterized	R3	R5	R1	R2	R4
E010	Wheat	TraesCS4D02G130600	well_studied	R1	R3	R2	R5	R4
E010	Wheat	TraesCS7B02G258700	uncharacterized	R5	R4	R1	R2	R3
E011	Rice	Os02g0707200	well_studied	R4	R5	R3	R2	R1
E011	Rice	Os03g0221500	uncharacterized	R3	R5	R1	R2	R4
E011	Rice	Os03g0602300	well_studied	R2	R3	R5	R1	R4
E011	Rice	Os04g0570700	uncharacterized	R2	R5	R4	R1	R3
E011	Rice	Os07g0103500	well_studied	R2	R5	R4	R1	R3
E012	Arabidopsis	AT2G38050	well_studied	R2	R5	R4	R1	R3
E012	Arabidopsis	AT3G11280	uncharacterized	R4	R5	R3	R2	R1
E012	Arabidopsis	AT3G50660	well_studied	R3	R4	R5	R2	R1
E012	Arabidopsis	AT4G01730	uncharacterized	R3	R5	R4	R1	R2
E012	Arabidopsis	AT4G18390	well_studied	R3	R5	R4	R2	R1
E013	Maize	Zm00001eb117870	well_studied	R4	R5	R2	R1	R3
E013	Maize	Zm00001eb133420	uncharacterized	R1	R4	R5	R2	R3
E013	Maize	Zm00001eb172650	uncharacterized	R3	R5	R4	R2	R1
E013	Maize	Zm00001eb298190	well_studied	R1	R3	R2	R5	R4
E013	Maize	Zm00001eb400720	uncharacterized	R2	R5	R4	R1	R3
E014	Wheat	TraesCS2A02G013500	uncharacterized	R4	R5	R3	R1	R2
E014	Wheat	TraesCS2A02G425500	uncharacterized	R4	R5	R2	R1	R3
E014	Wheat	TraesCS4D02G130600	well_studied	R3	R5	R4	R1	R2
E014	Wheat	TraesCS5A02G376500	well_studied	R4	R5	R1	R2	R3
E014	Wheat	TraesCS7A02G369800	uncharacterized	R3	R5	R4	R1	R2
E015	Wheat	TraesCS1A02G223800	uncharacterized	R4	R5	R1	R3	R2
E015	Wheat	TraesCS3D02G124500	well_studied	R2	R5	R3	R4	R1
E015	Wheat	TraesCS4A02G182800	well_studied	R2	R5	R4	R3	R1
E015	Wheat	TraesCS4D02G258000	well_studied	R4	R5	R2	R3	R1
E015	Wheat	TraesCS6A02G263000	uncharacterized	R4	R5	R2	R3	R1
E016	Wheat	TraesCS2A02G187800	well_studied	R2	R5	R4	R3	R1
E016	Wheat	TraesCS2D02G199900	well_studied	R1	R5	R4	R2	R3
E016	Wheat	TraesCS3B02G275000	well_studied	R3	R5	R4	R2	R1
E016	Wheat	TraesCS6B02G356400	well_studied	R1	R5	R3	R2	R4
E016	Wheat	TraesCS7D02G353500	uncharacterized	R3	R5	R4	R2	R1
E017	Wheat	TraesCS2B02G219300	well_studied	R2	R5	R3	R1	R4
E017	Wheat	TraesCS2B02G578500	well_studied	R1	R2	R5	R4	R3
E017	Wheat	TraesCS3B02G141800	well_studied	R2	R5	R4	R1	R3
E017	Wheat	TraesCS4A02G046700	well_studied	R1	R5	R2	R4	R3
E017	Wheat	TraesCS4D02G258000	well_studied	R1	R3	R5	R2	R4
E018	Wheat	TraesCS1D02G381700	uncharacterized	R4	R3	R1	R2	R5
E018	Wheat	TraesCS3B02G275000	well_studied	R5	R3	R2	R1	R4
E018	Wheat	TraesCS5D02G362500	uncharacterized	R2	R3	R4	R1	R5
E018	Wheat	TraesCS6B02G290000	uncharacterized	R5	R2	R4	R3	R1
E018	Wheat	TraesCS7D02G353500	uncharacterized	R2	R4	R1	R5	R3
E019	Wheat	TraesCS1D02G150300	uncharacterized	R2	R5	R4	R3	R1
E019	Wheat	TraesCS2A02G013200	uncharacterized	R3	R1	R4	R2	R5
E019	Wheat	TraesCS2B02G578500	well_studied	R2	R3	R5	R4	R1
E019	Wheat	TraesCS4A02G105300	well_studied	R1	R5	R3	R4	R2
E019	Wheat	TraesCS7A02G369800	uncharacterized	R1	R5	R4	R2	R3
E020	Rice	Os01g0883800	well_studied	R4	R2	R1	R3	R5
E020	Rice	Os02g0821600	uncharacterized	R2	R5	R4	R3	R1
E020	Rice	Os04g0448900	well_studied	R4	R3	R2	R1	R5
E020	Rice	Os06g0610300	well_studied	R4	R5	R2	R3	R1
E020	Rice	Os11g0521900	uncharacterized	R5	R3	R1	R4	R2
E021	Maize	Zm00001eb067310	well_studied	R3	R5	R4	R1	R2
E021	Maize	Zm00001eb074640	well_studied	R2	R5	R3	R1	R4
E021	Maize	Zm00001eb212190	uncharacterized	R3	R5	R4	R1	R2
E021	Maize	Zm00001eb214800	uncharacterized	R3	R5	R2	R1	R4
E021	Maize	Zm00001eb228140	well_studied	R3	R5	R2	R1	R4
E022	Soybean	GLYMA_02G007900	uncharacterized	R1	R3	R2	R4	R5
E022	Soybean	GLYMA_05G037800	uncharacterized	R2	R3	R5	R1	R4
E022	Soybean	GLYMA_05G176200	uncharacterized	R1	R5	R3	R2	R4
E022	Soybean	GLYMA_08G163900	well_studied	R1	R5	R2	R4	R3
E022	Soybean	GLYMA_11G003200	well_studied	R1	R5	R2	R3	R4
E023	Maize	Zm00001eb122500	well_studied	R2	R5	R3	R1	R4
E023	Maize	Zm00001eb172650	uncharacterized	R3	R5	R4	R2	R1
E023	Maize	Zm00001eb233320	well_studied	R2	R5	R4	R1	R3
E023	Maize	Zm00001eb334320	uncharacterized	R3	R5	R2	R1	R4
E023	Maize	Zm00001eb409870	uncharacterized	R2	R5	R4	R1	R3
E024	Rice	Os01g0107900	uncharacterized	R3	R5	R4	R1	R2
E024	Rice	Os03g0833100	uncharacterized	R2	R5	R4	R1	R3
E024	Rice	Os04g0462900	uncharacterized	R3	R5	R4	R1	R2
E024	Rice	Os05g0350600	uncharacterized	R2	R5	R4	R1	R3
E024	Rice	Os06g0569500	well_studied	R2	R5	R4	R1	R3
E025	Maize	Zm00001eb054440	well_studied	R3	R5	R4	R1	R2
E025	Maize	Zm00001eb084030	well_studied	R3	R5	R4	R1	R2
E025	Maize	Zm00001eb122500	well_studied	R2	R5	R4	R1	R3
E025	Maize	Zm00001eb214800	uncharacterized	R2	R5	R4	R1	R3
E025	Maize	Zm00001eb298190	well_studied	R2	R5	R4	R1	R3
E026	Soybean	GLYMA_02G007900	uncharacterized	R1	R4	R3	R2	R5
E026	Soybean	GLYMA_08G269800	well_studied	R4	R5	R2	R1	R3
E026	Soybean	GLYMA_09G238300	well_studied	R3	R4	R2	R1	R5
E026	Soybean	GLYMA_14G089000	uncharacterized	R5	R3	R2	R1	R4
E026	Soybean	GLYMA_18G029000	uncharacterized	R5	R4	R3	R1	R2
E027	Arabidopsis	AT1G19350	well_studied	R2	R5	R4	R1	R3
E027	Arabidopsis	AT2G46790	well_studied	R1	R4	R5	R2	R3
E027	Arabidopsis	AT5G24470	well_studied	R3	R5	R4	R1	R2
E027	Arabidopsis	AT5G51810	well_studied	R2	R5	R3	R1	R4
E027	Arabidopsis	AT5G61380	well_studied	R3	R5	R2	R1	R4
E028	Rice	Os02g0580500	uncharacterized	R3	R5	R4	R1	R2
E028	Rice	Os03g0833100	uncharacterized	R3	R5	R4	R1	R2
E028	Rice	Os04g0462900	uncharacterized	R3	R4	R5	R2	R1
E028	Rice	Os05g0169300	well_studied	R3	R5	R4	R1	R2
E028	Rice	Os06g0610300	well_studied	R3	R4	R5	R1	R2
E029	Maize	Zm00001eb029300	well_studied	R3	R1	R2	R4	R5
E029	Maize	Zm00001eb287560	uncharacterized	R1	R2	R3	R5	R4
E029	Maize	Zm00001eb334320	uncharacterized	R1	R2	R3	R4	R5
E029	Maize	Zm00001eb336530	well_studied	R2	R1	R5	R4	R3
E029	Maize	Zm00001eb337920	uncharacterized	R5	R2	R1	R3	R4
E030	Rice	Os01g0197100	well_studied	R3	R2	R5	R4	R1
E030	Rice	Os03g0221500	uncharacterized	R3	R1	R5	R4	R2
E030	Rice	Os04g0462900	uncharacterized	R3	R1	R4	R2	R5
E030	Rice	Os04g0570700	uncharacterized	R4	R1	R5	R3	R2
E030	Rice	Os12g0263100	uncharacterized	R4	R1	R5	R2	R3
E031	Rice	Os01g0757200	well_studied	R2	R1	R3	R5	R4
E031	Rice	Os02g0278700	well_studied	R2	R3	R1	R4	R5
E031	Rice	Os03g0602300	well_studied	R1	R2	R3	R4	R5
E031	Rice	Os06g0569500	well_studied	R1	R5	R4	R2	R3
E031	Rice	Os06g0570100	well_studied	R3	R5	R1	R2	R4
E032	Arabidopsis	AT1G44090	well_studied	R2	R5	R4	R1	R3
E032	Arabidopsis	AT4G01730	uncharacterized	R2	R5	R4	R1	R3
E032	Arabidopsis	AT4G18390	well_studied	R3	R5	R4	R1	R2
E032	Arabidopsis	AT5G37020	well_studied	R2	R5	R4	R1	R3
E032	Arabidopsis	AT5G62000	well_studied	R3	R5	R4	R1	R2
E033	Maize	Zm00001eb048020	well_studied	R2	R4	R3	R5	R1
E033	Maize	Zm00001eb050790	well_studied	R2	R4	R3	R5	R1
E033	Maize	Zm00001eb054440	well_studied	R3	R2	R5	R4	R1
E033	Maize	Zm00001eb070570	uncharacterized	R4	R5	R3	R2	R1
E033	Maize	Zm00001eb084030	well_studied	R1	R3	R4	R5	R2
E034	Arabidopsis	AT1G73950	uncharacterized	R1	R5	R4	R2	R3
E034	Arabidopsis	AT1G75080	well_studied	R1	R5	R4	R3	R2
E034	Arabidopsis	AT2G47120	uncharacterized	R1	R5	R4	R2	R3
E034	Arabidopsis	AT3G11280	uncharacterized	R1	R5	R4	R3	R2
E034	Arabidopsis	AT4G33490	uncharacterized	R1	R5	R4	R3	R2
E035	Soybean	GLYMA_02G254200	uncharacterized	R3	R5	R1	R4	R2
E035	Soybean	GLYMA_05G037800	uncharacterized	R1	R2	R5	R4	R3
E035	Soybean	GLYMA_18G117100	well_studied	R5	R4	R1	R2	R3
E035	Soybean	GLYMA_19G164600	well_studied	R3	R5	R1	R4	R2
E035	Soybean	GLYMA_19G194300	uncharacterized	R4	R5	R3	R2	R1
E036	Rice	Os01g0107900	uncharacterized	R5	R1	R4	R2	R3
E036	Rice	Os01g0177400	well_studied	R5	R2	R4	R1	R3
E036	Rice	Os02g0580500	uncharacterized	R3	R5	R4	R1	R2
E036	Rice	Os02g0707200	well_studied	R2	R4	R3	R1	R5
E036	Rice	Os04g0653300	uncharacterized	R5	R3	R4	R1	R2
E037	Maize	Zm00001eb084030	well_studied	R1	R5	R2	R3	R4
E037	Maize	Zm00001eb140160	uncharacterized	R5	R2	R3	R1	R4
E037	Maize	Zm00001eb288730	well_studied	R2	R1	R3	R4	R5
E037	Maize	Zm00001eb334320	uncharacterized	R1	R3	R4	R2	R5
E037	Maize	Zm00001eb355530	uncharacterized	R4	R5	R1	R3	R2
E038	Wheat	TraesCS1A02G278900	uncharacterized	R5	R3	R2	R1	R4
E038	Wheat	TraesCS1D02G381700	uncharacterized	R4	R2	R3	R1	R5
E038	Wheat	TraesCS2A02G425400	uncharacterized	R2	R5	R4	R1	R3
E038	Wheat	TraesCS4B02G258200	well_studied	R1	R5	R4	R2	R3
E038	Wheat	TraesCS6A02G227900	well_studied	R4	R3	R2	R1	R5
E039	Soybean	GLYMA_01G175500	well_studied	R5	R4	R2	R1	R3
E039	Soybean	GLYMA_03G070900	uncharacterized	R1	R5	R4	R2	R3
E039	Soybean	GLYMA_18G259400	well_studied	R1	R5	R4	R3	R2
E039	Soybean	GLYMA_18G273600	well_studied	R1	R5	R3	R2	R4
E039	Soybean	GLYMA_19G034500	well_studied	R3	R5	R4	R1	R2
E040	Arabidopsis	AT1G14920	well_studied	R3	R5	R4	R1	R2
E040	Arabidopsis	AT1G28080	uncharacterized	R3	R2	R4	R1	R5
E040	Arabidopsis	AT3G29260	uncharacterized	R5	R2	R3	R1	R4
E040	Arabidopsis	AT5G13250	uncharacterized	R2	R5	R3	R1	R4
E040	Arabidopsis	AT5G24470	well_studied	R2	R5	R3	R1	R4
E041	Wheat	TraesCS3A02G122600	well_studied	R5	R4	R2	R1	R3
E041	Wheat	TraesCS3B02G275000	well_studied	R1	R2	R5	R4	R3
E041	Wheat	TraesCS4A02G182800	well_studied	R1	R2	R4	R3	R5
E041	Wheat	TraesCS4D02G258000	well_studied	R2	R3	R5	R4	R1
E041	Wheat	TraesCS6B02G356400	well_studied	R3	R5	R2	R1	R4
E042	Soybean	GLYMA_01G175500	well_studied	R3	R5	R2	R4	R1
E042	Soybean	GLYMA_03G070900	uncharacterized	R4	R5	R2	R3	R1
E042	Soybean	GLYMA_13G276700	well_studied	R3	R5	R1	R4	R2
E042	Soybean	GLYMA_16G165500	uncharacterized	R5	R4	R3	R2	R1
E042	Soybean	GLYMA_20G068700	uncharacterized	R3	R5	R1	R4	R2
E043	Soybean	GLYMA_05G018800	well_studied	R1	R4	R5	R2	R3
E043	Soybean	GLYMA_08G302500	well_studied	R3	R2	R1	R5	R4
E043	Soybean	GLYMA_12G028300	uncharacterized	R2	R4	R1	R5	R3
E043	Soybean	GLYMA_13G104700	uncharacterized	R1	R5	R4	R3	R2
E043	Soybean	GLYMA_18G224500	well_studied	R2	R5	R1	R4	R3
E044	Arabidopsis	AT1G67260	well_studied	R5	R4	R1	R3	R2
E044	Arabidopsis	AT1G73950	uncharacterized	R2	R3	R4	R5	R1
E044	Arabidopsis	AT2G38050	well_studied	R5	R4	R1	R3	R2
E044	Arabidopsis	AT5G05790	uncharacterized	R3	R5	R2	R4	R1
E044	Arabidopsis	AT5G51810	well_studied	R5	R3	R4	R2	R1
E045	Rice	Os01g0177400	well_studied	R3	R5	R2	R1	R4
E045	Rice	Os02g0821600	uncharacterized	R3	R5	R4	R2	R1
E045	Rice	Os03g0587100	uncharacterized	R4	R5	R3	R1	R2
E045	Rice	Os06g0610300	well_studied	R4	R5	R3	R2	R1
E045	Rice	Os12g0263100	uncharacterized	R2	R5	R3	R1	R4
E046	Wheat	TraesCS1A02G278900	uncharacterized	R3	R2	R4	R1	R5
E046	Wheat	TraesCS2B02G219300	well_studied	R2	R3	R5	R1	R4
E046	Wheat	TraesCS4B02G258200	well_studied	R3	R5	R1	R4	R2
E046	Wheat	TraesCS5B02G357400	uncharacterized	R5	R1	R2	R3	R4
E046	Wheat	TraesCS6B02G290000	uncharacterized	R4	R3	R5	R1	R2
E047	Soybean	GLYMA_01G104200	uncharacterized	R1	R5	R3	R4	R2
E047	Soybean	GLYMA_02G007900	uncharacterized	R1	R4	R2	R3	R5
E047	Soybean	GLYMA_18G220600	well_studied	R4	R3	R2	R5	R1
E047	Soybean	GLYMA_18G259400	well_studied	R3	R5	R4	R1	R2
E047	Soybean	GLYMA_19G034500	well_studied	R2	R5	R3	R4	R1
E048	Rice	Os01g0169800	well_studied	R2	R5	R4	R1	R3
E048	Rice	Os02g0580500	uncharacterized	R2	R5	R4	R1	R3
E048	Rice	Os04g0653300	uncharacterized	R1	R5	R2	R3	R4
E048	Rice	Os07g0154100	well_studied	R2	R5	R3	R4	R1
E048	Rice	Os12g0263100	uncharacterized	R1	R5	R4	R2	R3
E049	Maize	Zm00001eb048020	well_studied	R2	R5	R1	R3	R4
E049	Maize	Zm00001eb233320	well_studied	R5	R3	R2	R1	R4
E049	Maize	Zm00001eb252940	uncharacterized	R1	R5	R2	R3	R4
E049	Maize	Zm00001eb288730	well_studied	R3	R5	R2	R4	R1
E049	Maize	Zm00001eb356500	uncharacterized	R5	R4	R2	R1	R3
E050	Maize	Zm00001eb029300	well_studied	R2	R5	R3	R1	R4
E050	Maize	Zm00001eb122500	well_studied	R2	R5	R3	R1	R4
E050	Maize	Zm00001eb123040	well_studied	R2	R5	R4	R1	R3
E050	Maize	Zm00001eb228140	well_studied	R2	R5	R3	R1	R4
E050	Maize	Zm00001eb409870	uncharacterized	R3	R4	R5	R1	R2
E051	Maize	Zm00001eb050790	well_studied	R5	R1	R4	R2	R3
E051	Maize	Zm00001eb057490	well_studied	R2	R3	R5	R4	R1
E051	Maize	Zm00001eb123040	well_studied	R4	R1	R5	R2	R3
E051	Maize	Zm00001eb145600	well_studied	R3	R2	R4	R1	R5
E051	Maize	Zm00001eb409870	uncharacterized	R3	R4	R2	R1	R5
E052	Maize	Zm00001eb029300	well_studied	R2	R1	R5	R4	R3
E052	Maize	Zm00001eb050790	well_studied	R2	R5	R1	R3	R4
E052	Maize	Zm00001eb117870	well_studied	R2	R4	R5	R1	R3
E052	Maize	Zm00001eb145600	well_studied	R4	R2	R5	R3	R1
E052	Maize	Zm00001eb355530	uncharacterized	R5	R4	R3	R1	R2
E053	Arabidopsis	AT1G68130	well_studied	R4	R5	R2	R1	R3
E053	Arabidopsis	AT2G47120	uncharacterized	R4	R5	R2	R3	R1
E053	Arabidopsis	AT2G47150	uncharacterized	R4	R5	R2	R3	R1
E053	Arabidopsis	AT4G01730	uncharacterized	R3	R4	R5	R2	R1
E053	Arabidopsis	AT5G05790	uncharacterized	R4	R5	R3	R2	R1
E054	Arabidopsis	AT1G07140	uncharacterized	R4	R2	R3	R1	R5
E054	Arabidopsis	AT1G50575	uncharacterized	R1	R5	R4	R3	R2
E054	Arabidopsis	AT1G51040	uncharacterized	R5	R4	R1	R3	R2
E054	Arabidopsis	AT2G18790	well_studied	R3	R1	R5	R4	R2
E054	Arabidopsis	AT4G21690	well_studied	R2	R4	R5	R1	R3
E055	Maize	Zm00001eb035030	well_studied	R1	R2	R5	R4	R3
E055	Maize	Zm00001eb133420	uncharacterized	R1	R3	R5	R4	R2
E055	Maize	Zm00001eb214800	uncharacterized	R1	R4	R5	R3	R2
E055	Maize	Zm00001eb316260	well_studied	R2	R1	R3	R5	R4
E055	Maize	Zm00001eb356500	uncharacterized	R1	R2	R5	R4	R3
E056	Arabidopsis	AT1G25250	well_studied	R3	R5	R1	R2	R4
E056	Arabidopsis	AT1G44130	uncharacterized	R3	R4	R2	R1	R5
E056	Arabidopsis	AT1G50575	uncharacterized	R2	R5	R4	R1	R3
E056	Arabidopsis	AT2G47120	uncharacterized	R4	R3	R5	R1	R2
E056	Arabidopsis	AT3G29260	uncharacterized	R2	R5	R3	R1	R4
E057	Wheat	TraesCS1A02G083000	uncharacterized	R5	R3	R2	R4	R1
E057	Wheat	TraesCS1A02G278900	uncharacterized	R4	R5	R2	R1	R3
E057	Wheat	TraesCS2A02G425500	uncharacterized	R2	R5	R1	R3	R4
E057	Wheat	TraesCS2B02G570900	well_studied	R5	R1	R4	R2	R3
E057	Wheat	TraesCS6D02G243500	uncharacterized	R3	R1	R5	R2	R4
E058	Maize	Zm00001eb035030	well_studied	R1	R2	R3	R4	R5
E058	Maize	Zm00001eb049320	uncharacterized	R4	R1	R3	R5	R2
E058	Maize	Zm00001eb057490	well_studied	R4	R1	R2	R3	R5
E058	Maize	Zm00001eb067310	well_studied	R2	R3	R1	R5	R4
E058	Maize	Zm00001eb170340	uncharacterized	R3	R1	R2	R4	R5
E059	Maize	Zm00001eb063410	uncharacterized	R4	R5	R1	R2	R3
E059	Maize	Zm00001eb074640	well_studied	R3	R5	R4	R1	R2
E059	Maize	Zm00001eb133420	uncharacterized	R2	R5	R1	R3	R4
E059	Maize	Zm00001eb172650	uncharacterized	R4	R5	R1	R3	R2
E059	Maize	Zm00001eb228140	well_studied	R3	R4	R1	R2	R5
E060	Rice	Os01g0134700	uncharacterized	R3	R5	R4	R1	R2
E060	Rice	Os02g0278700	well_studied	R2	R5	R4	R1	R3
E060	Rice	Os03g0833100	uncharacterized	R3	R5	R4	R1	R2
E060	Rice	Os03g0850100	uncharacterized	R2	R5	R4	R1	R3
E060	Rice	Os04g0178300	well_studied	R2	R5	R4	R1	R3
E061	Soybean	GLYMA_01G104200	uncharacterized	R5	R3	R2	R1	R4
E061	Soybean	GLYMA_09G149200	well_studied	R2	R5	R4	R1	R3
E061	Soybean	GLYMA_11G003200	well_studied	R4	R5	R3	R1	R2
E061	Soybean	GLYMA_11G026400	well_studied	R3	R5	R4	R1	R2
E061	Soybean	GLYMA_18G149800	well_studied	R4	R5	R3	R1	R2
E062	Maize	Zm00001eb048020	well_studied	R3	R2	R4	R1	R5
E062	Maize	Zm00001eb126640	uncharacterized	R4	R2	R3	R1	R5
E062	Maize	Zm00001eb140160	uncharacterized	R4	R2	R5	R1	R3
E062	Maize	Zm00001eb298190	well_studied	R3	R2	R4	R1	R5
E062	Maize	Zm00001eb362410	uncharacterized	R5	R4	R3	R1	R2
E063	Rice	Os03g0722400	well_studied	R2	R5	R4	R1	R3
E063	Rice	Os03g0783000	uncharacterized	R2	R4	R5	R1	R3
E063	Rice	Os04g0448900	well_studied	R3	R5	R4	R1	R2
E063	Rice	Os05g0169300	well_studied	R4	R5	R2	R1	R3
E063	Rice	Os06g0665200	uncharacterized	R2	R5	R3	R1	R4
E064	Rice	Os03g0811700	uncharacterized	R2	R5	R4	R1	R3
E064	Rice	Os04g0178300	well_studied	R3	R5	R4	R1	R2
E064	Rice	Os04g0463500	well_studied	R2	R5	R4	R1	R3
E064	Rice	Os04g0570700	uncharacterized	R3	R5	R4	R1	R2
E064	Rice	Os04g0653300	uncharacterized	R2	R5	R4	R1	R3
E065	Wheat	TraesCS1A02G083000	uncharacterized	R1	R3	R5	R4	R2
E065	Wheat	TraesCS1D02G150300	uncharacterized	R2	R5	R1	R4	R3
E065	Wheat	TraesCS2A02G013200	uncharacterized	R3	R2	R4	R5	R1
E065	Wheat	TraesCS2D02G548900	well_studied	R2	R4	R3	R5	R1
E065	Wheat	TraesCS4A02G105300	well_studied	R5	R4	R3	R1	R2
E066	Maize	Zm00001eb063410	uncharacterized	R2	R4	R5	R1	R3
E066	Maize	Zm00001eb170340	uncharacterized	R2	R4	R3	R5	R1
E066	Maize	Zm00001eb257830	uncharacterized	R2	R4	R3	R5	R1
E066	Maize	Zm00001eb337920	uncharacterized	R3	R2	R1	R4	R5
E066	Maize	Zm00001eb362410	uncharacterized	R4	R2	R3	R1	R5
E067	Maize	Zm00001eb038710	well_studied	R4	R2	R1	R3	R5
E067	Maize	Zm00001eb054440	well_studied	R2	R1	R3	R4	R5
E067	Maize	Zm00001eb057490	well_studied	R1	R5	R3	R2	R4
E067	Maize	Zm00001eb117870	well_studied	R3	R5	R4	R1	R2
E067	Maize	Zm00001eb257830	uncharacterized	R3	R5	R4	R1	R2
E068	Rice	Os01g0169800	well_studied	R1	R5	R4	R3	R2
E068	Rice	Os03g0587100	uncharacterized	R2	R5	R1	R3	R4
E068	Rice	Os05g0169300	well_studied	R2	R5	R1	R4	R3
E068	Rice	Os05g0449900	uncharacterized	R2	R5	R1	R3	R4
E068	Rice	Os06g0570100	well_studied	R3	R5	R4	R2	R1
E069	Arabidopsis	AT1G44090	well_studied	R2	R5	R4	R1	R3
E069	Arabidopsis	AT1G77480	uncharacterized	R1	R5	R4	R2	R3
E069	Arabidopsis	AT4G26701	uncharacterized	R2	R4	R3	R1	R5
E069	Arabidopsis	AT4G33490	uncharacterized	R2	R5	R4	R1	R3
E069	Arabidopsis	AT5G61380	well_studied	R2	R5	R4	R1	R3
E070	Arabidopsis	AT1G14920	well_studied	R2	R5	R4	R1	R3
E070	Arabidopsis	AT1G51040	uncharacterized	R2	R4	R3	R1	R5
E070	Arabidopsis	AT2G18790	well_studied	R2	R5	R4	R1	R3
E070	Arabidopsis	AT2G47150	uncharacterized	R2	R3	R4	R1	R5
E070	Arabidopsis	AT5G51810	well_studied	R3	R4	R5	R1	R2
E071	Wheat	TraesCS1A02G083000	uncharacterized	R4	R5	R2	R3	R1
E071	Wheat	TraesCS1A02G223800	uncharacterized	R3	R5	R2	R4	R1
E071	Wheat	TraesCS3D02G124500	well_studied	R1	R5	R4	R2	R3
E071	Wheat	TraesCS4A02G182800	well_studied	R1	R5	R4	R2	R3
E071	Wheat	TraesCS6A02G227900	well_studied	R1	R5	R4	R3	R2
E072	Rice	Os01g0678500	well_studied	R4	R2	R3	R1	R5
E072	Rice	Os02g0707200	well_studied	R2	R5	R3	R1	R4
E072	Rice	Os04g0178300	well_studied	R4	R5	R2	R1	R3
E072	Rice	Os06g0570100	well_studied	R2	R5	R3	R1	R4
E072	Rice	Os06g0665200	uncharacterized	R3	R4	R2	R5	R1
